,Location,Resort,Pass,Limited or unlimited,Total Lifts,Summit height,Vertical Drop,Base Elevation,Runs in Total,Longest Run,Skiable Terrain,Snow Making,Projected Opening,Projected Closing,Projected Days Open,Days Open Last Year,Years Open,Average Snowfall,Beginners Runs,Intermediate Runs,Advanced Runs,Expert Runs,Night Skiing
1,colorado,Arapahoe Basin,Ikon,limited,9,13050,2530,10780,147,1.5 mi,1428 ac,125 ac,2021-10-17,2022-06-05,270,234,76,350,7.0,20.0,49.0,24.0,
3,california,Bear Mountain,Ikon,unlimited,12,8805,1665,7140,15,1.5 mi,198 ac,198 ac,2021-12-02,2022-04-16,135,122,79,100,20.0,33.0,33.0,13.0,
4,montana,Big Sky,Ikon,limited,36,11166,4350,7500,317,6 mi,5800 ac,400 ac,2021-11-25,2022-04-24,143,144,49,400,15.0,25.0,42.0,18.0,
5,ontario,Blue Mountain,Ikon,unlimited,11,1476,722,755,55,1 mi,365 ac,360 ac,2021-12-04,2022-04-03,149,135,81,110,22.0,33.0,16.0,29.0,260 ac
6,michigan,Boyne Mountain,Ikon,limited,12,1120,500,620,60,1 mi,415 ac,380 ac,2021-12-03,2022-04-24,130,122,74,140,49.0,28.0,20.0,3.0,200 ac
8,colorado,Copper Mountain,Ikon,unlimited,24,12313,2738,9712,150,1.7 mi,2527 ac,364 ac,2021-11-22,2022-04-24,163,153,50,300,25.0,24.0,34.0,17.0,
9,washington,Crystal Mountain,Ikon,limited,11,7012,3100,4400,86,2.5 mi,2600 ac,10 ac,2021-12-04,2022-05-08,142,N.A.,60,486,8.0,31.0,32.0,29.0,
10,british-columbia,Cypress Mountain,Ikon,limited,6,4751,2008,3012,61,2.5 mi,600 ac,82 ac,2021-11-26,2022-04-10,137,136,47,426,8.0,38.0,34.0,20.0,66 ac
11,utah,Deer Valley,Ikon,limited,21,9570,3000,6570,103,2.8 mi,2026 ac,660 ac,2021-12-04,2022-04-17,127,N.A.,42,300,27.0,31.0,10.0,32.0,
12,colorado,Eldora,Ikon,unlimited,10,10600,1400,9200,61,3 mi,680 ac,680 ac,2021-11-19,2022-04-17,170,147,60,311,18.0,48.0,18.0,16.0,
13,wyoming,Jackson Hole,Ikon,limited,13,10450,4139,6311,131,4.5 mi,2500 ac,195 ac,2021-11-25,2022-04-10,136,136,57,459,4.0,41.0,38.0,17.0,
14,california,June Mountain,Ikon,unlimited,7,10090,2590,7545,43,2 mi,1500 ac,,2021-12-18,2022-04-10,128,111,61,250,16.0,40.0,28.0,16.0,
18,california,Mammoth,Ikon,unlimited,25,11053,3100,7953,150,3 mi,3500 ac,700 ac,2021-10-29,2022-05-30,N.A.,260,69,400,15.0,48.0,24.0,13.0,
19,oregon,Mt. Bachelor,Ikon,limited,15,9065,3365,5700,119,4 mi,4323 ac,2.5 mi,2021-12-13,2022-05-22,177,185,64,462,19.0,55.0,22.0,3.0,
23,california,Snow Summit,Ikon,unlimited,16,8200,1200,7000,27,1.2 mi,240 ac,240 ac,2021-12-03,2022-04-16,N.A.,N.A.,70,100,19.0,48.0,26.0,7.0,150 ac
24,utah,Snowbasin,Ikon,limited,12,9350,2900,6450,41.8 mi,3.5 mi,3000 ac,24.9 mi,2021-12-10,2022-04-10,135,143,82,300,7.0,37.0,47.0,9.0,
25,utah,Snowbird,Ikon,limited,14,11000,3240,7760,140,2.5 mi,2500 ac,,2021-12-01,2022-06-19,205,184,51,500,8.0,25.0,43.0,24.0,
26,utah,Solitude,Ikon,unlimited,9,10488,2494,7994,82,3 mi,1200 ac,150 ac,2021-11-23,2022-04-17,142,161,65,500,6.0,43.0,30.0,21.0,
27,colorado,Steamboat,Ikon,unlimited,18,10568,3668,6900,169,3 mi,2965 ac,375 ac,2021-11-27,2022-04-10,149,144,59,336,12.0,38.0,40.0,7.0,30 ac
29,vermont,Sugarbush,Ikon,unlimited,16,4083,2600,1483,111,3 mi,581 ac,406 ac,2021-11-24,2022-05-01,162,150,64,250,23.0,42.0,27.0,7.0,
30,maine,Sugarloaf,Ikon,limited,13,4237,2820,1417,162,3.5 mi,1240 ac,618 ac,2021-11-19,2022-04-24,149,159,71,200,22.0,32.0,26.0,20.0,
32,maine,Sunday River,Ikon,limited,18,3140,2340,800,135,3 mi,878 ac,552 ac,2021-11-18,2022-04-24,155,165,63,167,30.0,36.0,18.0,16.0,140 ac
33,alberta,Sunshine Village,Ikon,limited,11,8957,3510,5446,145,5 mi,3358 ac,,2021-11-11,2022-05-23,194,202,94,360,18.0,26.0,48.0,8.0,
34,new-mexico,Taos,Ikon,limited,14,12481,3281,9200,110,5 mi,1294 ac,13 mi,2021-11-25,2022-04-03,129,137,67,300,14.0,16.0,30.0,40.0,
35,quebec,Tremblant,Ikon,unlimited,14,2871,2116,755,102,3.7 mi,754 ac,465 ac,2021-11-25,2022-04-18,143,140,83,178,19.0,30.0,37.0,13.0,
36,colorado,Winter Park,Ikon,unlimited,25,12060,3060,9000,161,4.9 mi,3081 ac,313 ac,2021-11-17,2022-05-15,169,158,82,360,24.0,22.0,50.0,4.0,
38,west-virginia,Snowshoe,Ikon,unlimited,12,4848,1500,3348,61,1.5 mi,257 ac,257 ac,2021-11-24,2022-03-30,130,125,49,180,40.0,33.0,25.0,2.0,86 ac
39,michigan,The Highlands,Ikon,limited,10,1290,552,745,55,1.2 mi,435 ac,400 ac,2021-12-18,2022-03-27,133,97,59,140,36.0,31.0,31.0,2.0,150 ac
40,new-york,Windham Mountain,Ikon,limited,11,3100,1600,1500,18.2 mi,2 mi,285 ac,280 ac,2021-11-26,2022-04-03,127,131,62,105,20.0,48.0,19.0,13.0,45 ac
41,colorado,Beaver Creek,Epic,unlimited,24,11440,3340,8100,150,2.8 mi,1832 ac,650 ac,2021-11-29,2022-04-10,141,144,42,323,38.0,30.0,24.0,8.0,
42,colorado,Breckenridge,Epic,unlimited,34,12998,3398,9600,187,3.5 mi,2908 ac,600 ac,2021-11-12,2022-05-30,199,204,61,300,13.0,23.0,36.0,28.0,
43,northern-alps,Brides les Bains,Epic,limited,41,2950,2350,600,150 km,1.1 km,150 km,75 km,2021-12-04,2022-04-15,120,120,30,0,9.0,40.0,37.0,15.0,
44,northern-alps,Courchevel,Epic,limited,55,2738,1388,1100,150 km,9 km,150 km,87 km,2021-12-04,2022-04-22,140,140,76,800,19.0,38.0,33.0,10.0,3 km
47,california,Heavenly,Epic,unlimited,28,10067,3500,7170,97,5.5 mi,4800 ac,3379 ac,2021-12-11,2022-04-24,144,155,67,360,8.0,62.0,25.0,5.0,
52,northern-alps,La Tania,Epic,limited,55,2732,1382,1350,150 km,,150 km,67 km,2021-12-04,2022-04-22,120,120,31,0,19.0,38.0,33.0,10.0,
53,northern-alps,Les Menuires,Epic,limited,33,2850,1400,1450,160 km,,160 km,50 km,2021-12-04,2022-04-22,130,130,57,0,14.0,49.0,27.0,9.0,
55,northern-alps,Meribel,Epic,limited,42,2952,1852,1100,150 km,1.1 km,150 km,80 km,2021-12-04,2022-04-22,140,140,84,0,11.0,37.0,40.0,11.0,2.3 km
56,quebec,Mont-Sainte-Anne,Epic,limited,9,2625,2051,574,71,2.8 mi,547 ac,340 ac,2021-12-10,2022-04-10,139,N.A.,56,262,21.0,46.0,20.0,13.0,136 ac
57,alberta,Nakiska,Epic,limited,6,7415,2411,5003,75,1.9 mi,1021 ac,960 ac,2021-11-28,2022-04-18,142,140,36,98,15.0,59.0,21.0,5.0,
60,vermont,Okemo,Epic,unlimited,20,3344,2200,1144,39.2 mi,3.4 mi,667 ac,654 ac,2021-11-26,2022-04-17,142,150,66,200,33.0,38.0,21.0,9.0,
61,northern-alps,Orelle,Epic,limited,29,3200,2300,900,86,,150 km,120 km,2021-12-04,2022-05-08,160,160,34,0,13.0,42.0,36.0,9.0,
62,utah,Park City,Epic,unlimited,44,10026,3226,6800,341,3.5 mi,7300 ac,500 ac,2021-11-28,2022-04-17,142,142,59,355,8.0,41.0,28.0,23.0,
64,northern-alps,St Martin de Belleville,Epic,limited,31,2850,1400,1450,160 km,3 km,160 km,50 km,2021-12-11,2022-04-22,133,N.A.,38,0,15.0,50.0,26.0,10.0,
65,utah,Snowbasin,Epic,limited,12,9350,2900,6450,41.8 mi,3.5 mi,3000 ac,24.9 mi,2021-12-10,2022-04-10,135,143,82,300,7.0,37.0,47.0,9.0,
66,washington,Stevens Pass,Epic,unlimited,12,5845,1800,4061,53,1 mi,1125 ac,,2021-12-15,2022-05-01,123,116,85,460,8.0,45.0,28.0,19.0,450 ac
67,quebec,Stoneham Mountain,Epic,unlimited,6,1946,1132,814,43,2 mi,333 ac,293 ac,2021-12-03,2022-04-03,130,N.A.,59,208,19.0,26.0,39.0,16.0,156 ac
68,vermont,Stowe,Epic,unlimited,12,4395,2360,2035,116,3.7 mi,485 ac,388 ac,2021-11-26,2022-04-18,150,155,89,314,16.0,55.0,15.0,15.0,
71,colorado,Vail,Epic,unlimited,31,11570,3450,8120,267,4 mi,5289 ac,461 ac,2021-11-12,2022-05-01,156,158,60,354,22.0,34.0,41.0,2.0,
72,northern-alps,Val Thorens,Epic,limited,31,3230,930,1825,150 km,3.5 km,150 km,120 km,2021-11-20,2022-05-08,168,164,51,686,13.0,44.0,34.0,9.0,
75,british-columbia,Whistler Blackcomb,Epic,unlimited,23,7493,5279,2215,234,6.8 mi,8171 ac,697 ac,2021-11-25,2022-05-23,185,106,56,448,18.0,40.0,35.0,7.0,
79,colorado,Crested Butte,Epic,unlimited,14,12162,3062,9375,121,2.6 mi,1547 ac,297 ac,2021-11-24,2022-04-03,137,145,61,234,14.0,25.0,25.0,36.0,
81,new-hampshire,Mount Sunapee,Epic,limited,10,2743,1510,1233,66,0.8 mi,232 ac,215 ac,2021-12-03,2022-04-10,130,130,74,100,30.0,46.0,11.0,13.0,
82,michigan,Mt. Brighton,Epic,limited,13,1330,230,1100,25,0.1 mi,130 ac,130 ac,2021-12-03,2022-03-13,99,111,62,60,24.0,44.0,24.0,8.0,130 ac
85,colorado,Telluride,Epic,limited,17,13150,4425,8725,147,4.6 mi,2000 ac,220 ac,2021-12-03,2022-04-17,129,136,50,280,16.0,30.0,21.0,34.0,
